
2025/03/25 (18:52:47) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2025/03/25 (18:52:47) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/03/25 (18:52:48) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/03/25 (18:52:48) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme

2025/03/25 (18:53:30) | ===> btop++ v.1.4.0
2025/03/25 (18:53:30) | INFO: Logger set to DEBUG
2025/03/25 (18:53:30) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:53:30) | INFO: Running on /dev/tty2
2025/03/25 (18:53:30) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2025/03/25 (18:53:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:53:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:53:30) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:53:30) | DEBUG: Shared::init() : Initialized.

2025/03/25 (18:53:34) | ===> btop++ v.1.4.0
2025/03/25 (18:53:34) | INFO: Logger set to DEBUG
2025/03/25 (18:53:34) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:53:34) | INFO: Running on /dev/pts/2
2025/03/25 (18:53:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
